movieCd,title,openDt,ott_release_dt,ott_release_platform,budget,genre,watch_grade_nm,show_tm,is_original_ip,is_followup,nation_nm,distributor_nm,director_nm,director_nm_star_meter,actor1_nm,actor1_nm_star_meter,actor2_nm,actor2_nm_star_meter,actor3_nm,actor3_nm_star_meter,Unnamed: 21,director_score,actor1_score,actor2_score,actor3_score,Anchor_score,Support_score,Star_index,open_year,gamma,genre_en,Genre,TFS,ONS,TFS_norm,ONS_norm,cannibalization_coef
20224579,악마들,2023-07-05,20231017,Netflix,200000000,액션,19,106,1,0,한국,(주)콘텐츠지,김재훈,376137,장동윤,39169,오대환,85638,최귀화,44815,,2.123623948,3.10602752,2.766303488,3.047546604,3.10602752,2.64582468,11.32403179,2023,0.7713988809993032,Action,Action,8.4,4.2,0.8400000000000001,0.42000000000000004,0.08665854772891247
20227410,천박사 퇴마 연구소: 설경의 비밀,2023-09-27,20240119,Netflix,11300000000,판타지,12,98,1,0,한국,(주)외유내강,김성식,1016902,강동원,20947,허준호,38950,이솜,17480,,1.691690903,3.377848172,3.108462542,3.456428576,3.456428576,2.726000539,12.87865474,2023,0.7713988809993032,Fantasy,Fantasy,8.3,8.4,0.8300000000000001,0.8400000000000001,0.11930807099297458
20225894,뉴 노멀,2023-11-08,20240527,Wavve,3800000000,스릴러,15,113,1,0,한국,언파스튜디오,정범식,118709,최지우,38275,이유미,5431,최민호,60365,,2.624486358,3.116054805,3.964090202,2.918184799,3.964090202,2.886241987,15.40541378,2023,0.7713988809993032,Thriller,Thriller,4.9,9.6,0.49000000000000005,0.96,0.38126709643407103
20208962,대외비,2023-03-01,20230619,Tving,10200000000,범죄,15,116,0,0,한국,(주)트윈필름,이원태,67732,조진웅,26728,이성민,26341,김무열,26585,,2.868176105,3.272003542,3.278337746,3.27433334,3.278337746,3.138170995,13.56632217,2023,0.7713988809993032,Thriller,Thriller,4.9,9.6,0.49000000000000005,0.96,0.38126709643407103
20193706,카운트,2023-02-22,20240606,Netflix,5000000000,드라마,12,109,0,0,한국,(주)필름케이,권혁재,739839,진선규,52511,성유빈,105870,고창석,93066,,1.829832783,2.978719715,2.674197091,2.730178956,2.978719715,2.411402944,10.16161321,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20218541,밀수,2023-07-26,20231205,Disney+,17500000000,액션,15,129,0,0,한국,(주)외유내강,류승완,50300,김혜수,17036,염정아,37985,조인성,16305,,2.997402019,3.467602373,3.119357874,3.486649201,3.486649201,3.194787422,14.62575221,2023,0.7713988809993032,Action,Action,8.4,4.2,0.8400000000000001,0.42000000000000004,0.08665854772891247
20197654,소울메이트,2023-03-15,20240913,Disney+,4000000000,드라마,12,124,1,0,한국,클라이맥스 스튜디오(주),민용근,422551,김다미,14070,전소니,47708,변우석,5563,,2.073090871,3.550675907,3.020378794,3.953660944,3.953660944,2.881381857,15.34566786,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20227626,화란,2023-10-11,20231121,Coupang play,4000000000,드라마,15,124,0,0,한국,(주)사나이픽처스,김창훈,100091,홍사빈,147864,송중기,5993,김형서,58268,,2.698574976,2.529107554,3.921325727,2.933539893,3.921325727,2.720407474,14.58892954,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20225824,치악산,2023-09-13,20231004,Coupang play,2000000000,공포(호러),15,85,0,0,한국,(주)도호 엔터테인먼트,김선웅,690379,윤균상,43875,김예원,60856,연제욱,175125,,1.859882432,3.056752875,2.914666601,2.455621856,3.056752875,2.410056963,10.42370143,2023,0.7713988809993032,Horror,Horror,7.2,6.8,0.72,0.6799999999999999,0.17941981008662172
20224667,잠,2023-09-06,20231213,Netflix,5000000000,미스터리,15,94,0,0,한국,(주)루이스 픽쳐스,유재선,53563,정유미,13525,이선균,4513,김금순,796903,,2.970105111,3.567832731,4.044504671,1.797564543,4.044504671,2.778500795,15.28216411,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20224517,용감한 시민,2023-10-25,20231229,Wavve,8000000000,액션,15,112,1,0,한국,스튜디오엔(주),박진표,291340,신혜선,9367,이준영,34786,박정우,217909,,2.234569888,3.727369484,3.157565512,2.360694837,3.727369484,2.584276746,13.35992376,2023,0.7713988809993032,Action,Action,8.4,4.2,0.8400000000000001,0.42000000000000004,0.08665854772891247
20202247,싱글 인 서울,2023-11-29,20240124,Netflix,4500000000,멜로/로맨스,12,103,0,0,한국,(주)디씨지플러스,박범수,250159,이동욱,2691,임수정,26138,이솜,18139,,2.300753872,4.269056307,3.281697651,3.440356664,4.269056307,3.007602729,17.1086817,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20212866,서울의 봄,2023-11-22,20240510,Netflix,23250000000,드라마,12,141,0,0,한국,(주)하이브미디어코프,김성수,117557,황정민,18410,정우성,7434,이성민,33092,,2.62872151,3.433916216,3.827747448,3.179246989,3.827747448,3.080628238,15.61961432,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,20240903,Netflix,3800000000,애니메이션,0,77,1,1,한국,(주)오콘,김성민,458917,이선,2100239,이미자,694151,함수정,1505452,,2.037235858,1.376701286,1.857516051,1.521303091,2.037235858,1.585173476,5.266608105,2023,0.7713988809993032,Animation,Animation,8.7,6.8,0.8699999999999999,0.6799999999999999,0.08330205468307443
20218935,더 문,2023-08-02,20230825,Wavve,28000000000,SF,12,129,0,0,한국,씨제이이엔엠 스튜디오스 주식회사,김용화,29163,설경구,19481,도경수,13321,박병은,48470,,3.234137806,3.409358758,3.574433176,3.013496985,3.574433176,3.21899785,15.08052588,2023,0.7713988809993032,Sci-Fi,Sci-Fi,9.0,7.4,0.9,0.74,0.06636702158816361
20226500,달짝지근해: 7510,2023-08-15,20231229,Disney+,6500000000,코미디,12,118,0,0,한국,(주)무비락,이한,180740,유해진,"36,880",김희선,"14,468",차인표,"167,226",,2.441915726,3.132179092,3.538561504,2.475666203,3.538561504,2.683253674,13.03341966,2023,0.7713988809993032,Comedy,Comedy,4.4,5.8,0.44000000000000006,0.58,0.337480118972455
20203702,노량: 죽음의 바다,2023-12-20,20240416,Netflix,31200000000,사극,12,153,0,1,한국,(주)빅스톤픽쳐스,김한민,54030,김윤석,30293,백윤식,88719,정재영,46648,,2.966335037,3.217627719,2.750953366,3.030136976,3.217627719,2.91580846,12.59961384,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20223896,거미집,2023-09-27,20231229,Netflix,9600000000,코미디,15,135,0,0,한국,앤솔로지스튜디오(주),김지운,12207,송강호,5116,임수정,60591,오정세,19030,,3.61236106,3.990039469,2.916561884,3.419531216,3.990039469,3.316151387,17.22161438,2023,0.7713988809993032,Comedy,Comedy,4.4,5.8,0.44000000000000006,0.58,0.337480118972455
20197122,1947 보스톤,2023-09-27,20231101,Wavve (with IPTV),21000000000,드라마,12,108,0,0,한국,(주)비에이엔터테인먼트,강제규,83142,하정우,15761,임시완,17195,배성우,70342,,2.779149537,3.501386235,3.463567824,2.851755292,3.501386235,3.031490884,14.11580669,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20228819,30일,2023-10-03,20240228,Disney+,6000000000,코미디,12,119,0,0,한국,(주)영화사울림,남대중,199731,강하늘,18909,정소민,5572,조민수,68630,,2.398524528,3.422301442,3.952958897,2.862456005,3.952958897,2.894427325,15.39451114,2023,0.7713988809993032,Comedy,Comedy,4.4,5.8,0.44000000000000006,0.58,0.337480118972455
20204264,콘크리트 유토피아,2023-08-09,20231128,Netflix,18900000000,드라마,15,130,1,0,한국,클라이맥스 스튜디오(주),엄태화,1052753,이병헌,4662,박서준,1489,박보영,7520,,1.676643517,4.030397735,4.526075307,3.822752164,4.526075307,3.176597805,18.90359619,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20198482,드림,2023-04-26,20230726,Netflix,13900000000,코미디,12,125,0,0,한국,(주)옥토버시네마,이병헌,27398,박서준,4081,이지은,2503399,김종수,51567,,3.261251143,4.08820341,1.30043993,2.986598138,4.08820341,2.516096404,14.37451731,2023,0.7713988809993032,Comedy,Comedy,4.4,5.8,0.44000000000000006,0.58,0.337480118972455
20223565,다음 소희,2023-02-08,20230720,Netflix,1500000000,드라마,15,138,0,0,한국,트윈플러스파트너스(주),정주리,94958,김시은,239734,배두나,4847,박우영,1143506,,2.721438445,2.319240373,4.013496985,1.640731557,4.013496985,2.227136792,12.95210378,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20231577,라방,2023-06-28,20230912,Netflix,800000000,스릴러,19,90,1,0,한국,올픽처스 주식회사,최주연,3648969,박성웅,88383,박선호,216264,김희정,86270,,1.136799831,2.752601266,2.363985773,2.763110206,2.763110206,2.08446229,8.522709234,2023,0.7713988809993032,Thriller,Thriller,4.9,9.6,0.49000000000000005,0.96,0.38126709643407103
20200622,소년들,2023-11-01,20231026,Netflix,10000000000,드라마,15,124,1,0,한국,(주)아우라픽처스,정지영,458604,설경구,23194,유준상,23467,진경,24040,,2.037532166,3.333594352,3.328512431,3.318035541,3.333594352,2.894693379,12.98332785,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20231681,오픈 더 도어,2023-10-25,20231116,IPTV,4500000000,미스터리,15,71,0,0,한국,㈜컨텐츠랩 비보,장항준,70412,이순원,5132898,서영주,90486,강애심,111051,,2.851323324,0.9886073702,2.742388614,2.653447531,2.851323324,2.128147838,8.919360892,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20192995,보호자,2023-08-15,20240501,Netflix,8000000000,액션,15,97,0,0,한국,(주)영화사테이크,정우성,13151,정우성,13151,김남길,19660,김준한,93302,,3.580011227,3.580011227,3.405386491,2.729079051,3.580011227,3.238158923,15.17265652,2023,0.7713988809993032,Action,Action,8.4,4.2,0.8400000000000001,0.42000000000000004,0.08665854772891247
20202026,마루이 비디오,2023-02-22,20230519,Netflix,3000000000,미스터리,15,87,1,0,한국,(주)발포플랜,윤준형,268547,서현우,64433,조민경,1080952,서성광,1444499,,2.269949699,2.889861652,1.665163595,1.539252759,2.889861652,1.824788684,8.163248493,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20193879,비공식작전,2023-08-02,20231009,Netflix,20000000000,드라마,12,132,0,0,한국,(주)와인드업필름,김성훈,45551,하정우,17678,주지훈,19025,권은성,1770427,,3.040472089,3.451536875,3.419645339,1.45089198,3.451536875,2.637003136,12.55325044,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20227684,멍뭉이,2023-03-01,20230525,Wavve,3000000000,드라마,0,113,0,0,한국,(주)와이웍스엔터테인먼트,김주환,155905,유연석,8592,차태현,33544,정인선,43731,,2.506109961,3.764875736,3.173355155,3.058180596,3.764875736,2.912548571,14.73025918,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20226411,범죄도시3,2023-05-31,20230707,Netflix,13500000000,범죄,15,105,0,1,한국,주식회사 빅펀치픽쳐스,이상용,34836,마동석,2581,이준혁,22318,아오키 무네타카,39613,,3.156941722,4.287182,3.350314731,3.10113227,4.287182,3.202796241,18.01815239,2023,0.7713988809993032,Thriller,Thriller,4.9,9.6,0.49000000000000005,0.96,0.38126709643407103
20231773,빈틈없는 사이,2023-07-05,20230727,Wavve (with IPTV),2000000000,멜로/로맨스,15,112,1,0,한국,(주)갤리온엔터테인먼트,이우철,408552,이지훈,"79,929",한승연,2206043,고규필,47839,,2.087722663,2.796265625,1.355356031,3.019187912,3.019187912,2.07978144,9.298438893,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20233014,타겟,2023-08-30,20231213,Netflix,4500000000,스릴러,15,101,0,0,한국,(주)영화사피어나,박희곤,140009,신혜선,2829,김성균,11253,임성재,118843,,2.552814051,4.247337057,3.647701685,2.623996398,4.247337057,2.941504045,16.74089619,2023,0.7713988809993032,Thriller,Thriller,4.9,9.6,0.49000000000000005,0.96,0.38126709643407103
20233235,가문의 영광: 리턴즈,2023-09-21,20231006,Wavve (with IPTV),4000000000,코미디,15,99,0,1,한국,(주)태원엔터테인먼트,정용기,284671,윤현민,40507,유라,2279221,김수미,179742,,2.244626777,3.091439924,1.341183567,2.444320435,3.091439924,2.010043593,9.305368937,2023,0.7713988809993032,Comedy,Comedy,4.4,5.8,0.44000000000000006,0.58,0.337480118972455
20211937,귀공자,2023-06-21,20230621,Coupang play,9150000000,액션,19,118,0,0,한국,(주)영화사 금월,박훈정,19435,김선호,6220,강태주,52186,김강우,43289,,3.410385459,3.90517962,2.981415994,3.062592451,3.90517962,3.151464635,16.21221508,2023,0.7713988809993032,Action,Action,8.4,4.2,0.8400000000000001,0.42000000000000004,0.08665854772891247
20200154,킬링 로맨스,2023-04-14,20230518,Wavve,7500000000,코미디,15,107,0,0,한국,(주)영화사 이창,이원석,165882,이하늬,20961,이선균,14487,공명,73280,,2.479170741,3.377558006,3.537991544,2.833984544,3.537991544,2.89690443,13.78721492,2023,0.7713988809993032,Comedy,Comedy,4.4,5.8,0.44000000000000006,0.58,0.337480118972455
20226489,리바운드,2023-04-05,20230712,Wavve,7000000000,드라마,12,122,0,0,한국,(주)비에이엔터테인먼트,장항준,57985,안재홍,57956,이신영,28510,정진운,167951,,2.935654343,2.935871601,3.243972787,2.47378741,3.243972787,2.781771118,12.26796259,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20214823,유령,2023-01-18,20230228,Tving,13700000000,드라마,15,133,1,0,한국,더램프(주),이해영,100506,설경구,27941,이하늬,20183,박소담,7973,,2.696778015,3.252728059,3.393984284,3.79734824,3.79734824,3.114496786,15.62417713,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20231523,그 여름,2023-06-07,20230628,Tving,56000000,애니메이션,12,61,1,0,한국,(주)레드독컬처하우스,한지원,789135,윤아영,391503,송하림,1365127,이다슬,11819211,,1.801818699,2.10623491,1.563796948,0.6263815185,2.10623491,1.330665722,4.908929507,2023,0.7713988809993032,Animation,Animation,8.7,6.8,0.8699999999999999,0.6799999999999999,0.08330205468307443
20225865,옥수역귀신,2023-04-19,20230721,Wavve,1750000000,공포(호러),15,80,1,0,한국,(주)영화사조아,정용기,230161,김보라,105152,김재현,320658,신소율,150294,,2.336938269,2.677152467,2.192927925,2.522028361,2.677152467,2.350631518,8.970151435,2023,0.7713988809993032,Horror,Horror,7.2,6.8,0.72,0.6799999999999999,0.17941981008662172
